business_name,surgeon_name,qualifications,procedures,rating,review_count,street,city,state,primary_location,country,phone,phone_original,website,category,google_maps_url,years_experience,estimated_procedures,slug,meta_title,meta_description,priority_score,tier,location_display
Dr Jason Maani Bariatric Surgery,Jason Maani Bariatric Surgery,Dr,general-bariatric,5,83,"Level 3, Suite 3.02, 24/40 Bigge St",Liverpool,NSW,Sydney,AU,(013) 008 49118,+61 1300 849 118,https://www.drjasonmaani.com.au/,Bariatric surgeon,https://www.google.com/maps/search/?api=1&query=Dr%20Jason%20Maani%20Bariatric%20Surgery&query_place_id=ChIJ256UdTWVEmsRj7FBSF1qHDU,12,2160,jason-maani-bariatric-surgery-liverpool,Jason Maani Bariatric Surgery - Bariatric Surgeon Liverpool | Gastric Sleeve & Bypass,"Jason Maani Bariatric Surgery is an experienced bariatric surgeon in Liverpool with 12+ years experience. Rating: 5.0 stars. Book your consultation for gastric sleeve, bypass, or band surgery.",498.00,1,"Liverpool, NSW"
Dr Robert Gandy,Robert Gandy,Dr,,5,83,"Prince Of Wales Private Hospital, Suite 1A, Level/7 Barker St",Randwick,NSW,Sydney,AU,+61285994360,+61 2 8599 4360,http://www.keyholesurgeon.com.au/,Gastrointestinal surgeon,https://www.google.com/maps/search/?api=1&query=Dr%20Robert%20Gandy&query_place_id=ChIJPf1u0RiyEmsRToAH5sYubG4,12,2160,robert-gandy-randwick,Robert Gandy - Bariatric Surgeon Randwick | Gastric Sleeve & Bypass,"Robert Gandy is an experienced bariatric surgeon in Randwick with 12+ years experience. Rating: 5.0 stars. Book your consultation for gastric sleeve, bypass, or band surgery.",498.00,1,"Randwick, NSW"
Origin Pain Relief and Wellness,Origin Pain Relief and Wellness,,,5,93,338 Main St,Mornington,VIC,Other,AU,+61418235602,+61 418 235 602,https://naomigillespie.practicebetter.io/#/5c05f967627d7913842079b1/profile,Wellness center,https://www.google.com/maps/search/?api=1&query=Origin%20Pain%20Relief%20and%20Wellness&query_place_id=ChIJBVUT-b3b1WoRkECQR-2g6YE,10,1800,origin-pain-relief-and-wellness-mornington,Origin Pain Relief and Wellness - Bariatric Surgeon Mornington | Gastric Sleeve & Bypass,"Origin Pain Relief and Wellness is an experienced bariatric surgeon in Mornington with 10+ years experience. Rating: 5.0 stars. Book your consultation for gastric sleeve, bypass, or band surgery.",465.00,1,"Mornington, VIC"
Dr Kelly Thornbury,Kelly Thornbury,Dr,,5,73,Suite 2 Level 1/15 Cross St,Double Bay,NSW,Other,AU,+61272010777,+61 2 7201 0777,https://www.drkellythornbury.com.au/,Plastic surgeon,https://www.google.com/maps/search/?api=1&query=Dr%20Kelly%20Thornbury&query_place_id=ChIJRe9IuEi5EmsRBvQ-t_5KsHQ,12,2160,kelly-thornbury-double-bay,Kelly Thornbury - Bariatric Surgeon Double Bay | Gastric Sleeve & Bypass,"Kelly Thornbury is an experienced bariatric surgeon in Double Bay with 12+ years experience. Rating: 5.0 stars. Book your consultation for gastric sleeve, bypass, or band surgery.",438.00,1,"Double Bay, NSW"
Dr. Yuan Cheng,Yuan Cheng,Dr.,general-bariatric,5,72,Suite 2.1/173 Lennox St,Richmond,VIC,Melbourne,AU,+61394211166,+61 3 9421 1166,http://www.obesity.com.au/,Bariatric surgeon,https://www.google.com/maps/search/?api=1&query=Dr.%20Yuan%20Cheng&query_place_id=ChIJVVXl1cRC1moRniqUZ6Yf3qI,12,2160,yuan-cheng-richmond,Yuan Cheng - Bariatric Surgeon Richmond | Gastric Sleeve & Bypass,"Yuan Cheng is an experienced bariatric surgeon in Richmond with 12+ years experience. Rating: 5.0 stars. Book your consultation for gastric sleeve, bypass, or band surgery.",432.00,1,"Richmond, VIC"
Dr Faizur Reza,Faizur Reza,Dr,,5,70,306/10 Norbrik Dr,Bella Vista,NSW,Sydney,AU,(013) 001 81010,+61 1300 181 010,https://yhmo.xyz/business/dr-faizur-reza-b0bqgj,Surgeon,https://www.google.com/maps/search/?api=1&query=Dr%20Faizur%20Reza&query_place_id=ChIJedtdzhmZEmsR2j889dQuLMg,12,2160,faizur-reza-bella-vista,Faizur Reza - Bariatric Surgeon Bella Vista | Gastric Sleeve & Bypass,"Faizur Reza is an experienced bariatric surgeon in Bella Vista with 12+ years experience. Rating: 5.0 stars. Book your consultation for gastric sleeve, bypass, or band surgery.",420.00,1,"Bella Vista, NSW"
Andrea Barr Hair Extensions,Andrea Barr Hair Extensions,,,5,84,390 Clarendon St,South Melbourne,VIC,Melbourne,AU,+61493756068,+61 493 756 068,https://www.andreabarr.com.au/,Hair extension technician,https://www.google.com/maps/search/?api=1&query=Andrea%20Barr%20Hair%20Extensions&query_place_id=ChIJJfwWlVBD1moRlckD-hz5wdQ,10,1800,andrea-barr-hair-extensions-south-melbourne,Andrea Barr Hair Extensions - Bariatric Surgeon South Melbourne | Gastric Sleeve & Bypass,"Andrea Barr Hair Extensions is an experienced bariatric surgeon in South Melbourne with 10+ years experience. Rating: 5.0 stars. Book your consultation for gastric sleeve, bypass, or band surgery.",420.00,1,"South Melbourne, VIC"
Dr Scott J Turner - Plastic Surgeon Bondi Junction,Scott J Turner - Plastic Surgeon Bondi Junction,Dr,,4.8,71,39 Grosvenor St,Woollahra,NSW,Other,AU,(013) 004 37758,+61 1300 437 758,http://drturner.com.au/,Plastic surgery clinic,https://www.google.com/maps/search/?api=1&query=Dr%20Scott%20J%20Turner%20-%20Plastic%20Surgeon%20Bondi%20Junction&query_place_id=ChIJszgkvdGtEmsR2Ypn3erAPIY,12,2160,scott-j-turner-plastic-surgeon-bondi-junction-woollahra,Scott J Turner - Plastic Surgeon Bondi Junction - Bariatric Surgeon Woollahra | Gastric Sleeve & Bypass,"Scott J Turner - Plastic Surgeon Bondi Junction is an experienced bariatric surgeon in Woollahra with 12+ years experience. Rating: 4.8 stars. Book your consultation for gastric sleeve, bypass, or band surgery.",408.96,1,"Woollahra, NSW"
Body Genesis Institute,Body Genesis Institute,,general-bariatric,4.8,85,"Ormond Square, Level 2, Suite 213/12 Ormond Blvd",Bundoora,VIC,Other,AU,+61394667799,+61 3 9466 7799,https://centreforweightloss.com.au/?utm_source=google&utm_medium=GMB&utm_campaign=Map/Bundoora,Weight loss service,https://www.google.com/maps/search/?api=1&query=Body%20Genesis%20Institute&query_place_id=ChIJAzuZC8hI1moRufSSRP0gRo0,10,1800,body-genesis-institute-bundoora,Body Genesis Institute - Bariatric Surgeon Bundoora | Gastric Sleeve & Bypass,"Body Genesis Institute is an experienced bariatric surgeon in Bundoora with 10+ years experience. Rating: 4.8 stars. Book your consultation for gastric sleeve, bypass, or band surgery.",408.00,1,"Bundoora, VIC"
Dr Amir Faham,Amir Faham,Dr,,5,68,21-23 Chadstone Rd,Malvern East,VIC,Melbourne,AU,+61395690688,+61 3 9569 0688,http://dramirfaham.com.au/,General practitioner,https://www.google.com/maps/search/?api=1&query=Dr%20Amir%20Faham&query_place_id=ChIJZdGft9WJ1moRhTh3Umdw_lI,12,2160,amir-faham-malvern-east,Amir Faham - Bariatric Surgeon Malvern East | Gastric Sleeve & Bypass,"Amir Faham is an experienced bariatric surgeon in Malvern East with 12+ years experience. Rating: 5.0 stars. Book your consultation for gastric sleeve, bypass, or band surgery.",408.00,1,"Malvern East, VIC"
Zen Medispa,Zen Medispa,,,4.9,82,Level 1/116 Burwood Rd,Burwood,NSW,Other,AU,+61297471669,+61 2 9747 1669,http://www.zenmedispa.com.au/,Surgeon,https://www.google.com/maps/search/?api=1&query=Zen%20Medispa&query_place_id=ChIJbUC52tq6EmsRJMBa6dZRfVg,10,1800,zen-medispa-burwood,Zen Medispa - Bariatric Surgeon Burwood | Gastric Sleeve & Bypass,"Zen Medispa is an experienced bariatric surgeon in Burwood with 10+ years experience. Rating: 4.9 stars. Book your consultation for gastric sleeve, bypass, or band surgery.",401.80,1,"Burwood, NSW"
Martin Surgery,Martin Surgery,,,4.8,82,Suite 2/3-5 Everton Rd,Strathfield,NSW,Sydney,AU,+61297476166,+61 2 9747 6166,http://www.martinsurgery.com.au/david_martin.html,Surgeon,https://www.google.com/maps/search/?api=1&query=Martin%20Surgery&query_place_id=ChIJP4epxNm6EmsRt7TOBTosm-s,10,1800,martin-surgery-strathfield,Martin Surgery - Bariatric Surgeon Strathfield | Gastric Sleeve & Bypass,"Martin Surgery is an experienced bariatric surgeon in Strathfield with 10+ years experience. Rating: 4.8 stars. Book your consultation for gastric sleeve, bypass, or band surgery.",393.60,1,"Strathfield, NSW"
Andre Obradovic Which Path Coaching Pty Ltd,Andre Obradovic Which Path Coaching Pty Ltd,,,5,78,149 Pitt St,Eltham,VIC,Other,AU,(013) 006 10696,+61 1300 610 696,http://andreobradovic.com/,Health consultant,https://www.google.com/maps/search/?api=1&query=Andre%20Obradovic%20Which%20Path%20Coaching%20Pty%20Ltd&query_place_id=ChIJGTuPH8Q31moRTXPE8oe_2oA,10,1800,andre-obradovic-which-path-coaching-pty-ltd-eltham,Andre Obradovic Which Path Coaching Pty Ltd - Bariatric Surgeon Eltham | Gastric Sleeve & Bypass,"Andre Obradovic Which Path Coaching Pty Ltd is an experienced bariatric surgeon in Eltham with 10+ years experience. Rating: 5.0 stars. Book your consultation for gastric sleeve, bypass, or band surgery.",390.00,1,"Eltham, VIC"
Dr Amitabha Das,Amitabha Das,Dr,,4.4,69,304/13-15 Moore St,Liverpool,NSW,Sydney,AU,+61296014000,+61 2 9601 4000,https://www.reshapeweightloss.com.au/,Gastrointestinal surgeon,https://www.google.com/maps/search/?api=1&query=Dr%20Amitabha%20Das&query_place_id=ChIJoxcI6r6VEmsRmjhuuyw8Lcs,12,2160,amitabha-das-liverpool,Amitabha Das - Bariatric Surgeon Liverpool | Gastric Sleeve & Bypass,"Amitabha Das is an experienced bariatric surgeon in Liverpool with 12+ years experience. Rating: 4.4 stars. Book your consultation for gastric sleeve, bypass, or band surgery.",364.32,1,"Liverpool, NSW"
Lilydale Doctors,Lilydale Doctors,,,4.6,79,104 Main St,Lilydale,VIC,Other,AU,+61390888177,+61 3 9088 8177,http://www.lilydaledoctors.com.au/,Medical Center,https://www.google.com/maps/search/?api=1&query=Lilydale%20Doctors&query_place_id=ChIJ0x2EtIwv1moR_L0NjIfVu_Q,10,1800,lilydale-doctors-lilydale,Lilydale Doctors - Bariatric Surgeon Lilydale | Gastric Sleeve & Bypass,"Lilydale Doctors is an experienced bariatric surgeon in Lilydale with 10+ years experience. Rating: 4.6 stars. Book your consultation for gastric sleeve, bypass, or band surgery.",363.40,1,"Lilydale, VIC"
Me Clinic | Plastic & Cosmetic Surgery Melbourne,Me Clinic | Plastic & Cosmetic Surgery Melbourne,,,4.3,83,4 Burke Rd,Malvern East,VIC,Melbourne,AU,+61395693511,+61 3 9569 3511,https://www.meclinic.com.au/,Plastic surgeon,https://www.google.com/maps/search/?api=1&query=Me%20Clinic%20%7C%20Plastic%20%26%20Cosmetic%20Surgery%20Melbourne&query_place_id=ChIJex9kR_Vp1moRWHF_VH0QYLc,10,1800,me-clinic-plastic-cosmetic-surgery-melbourne-malvern-east,Me Clinic | Plastic & Cosmetic Surgery Melbourne - Bariatric Surgeon Malvern East | Gastric Sleeve & Bypass,"Me Clinic | Plastic & Cosmetic Surgery Melbourne is an experienced bariatric surgeon in Malvern East with 10+ years experience. Rating: 4.3 stars. Book your consultation for gastric sleeve, bypass, or band surgery.",356.90,1,"Malvern East, VIC"
The Gut Guy,The Gut Guy,,,5,71,Unit 2715/570 Lygon St,Carlton,VIC,Other,AU,+61497850719,+61 497 850 719,https://www.thegutguy.com.au/,Health consultant,https://www.google.com/maps/search/?api=1&query=The%20Gut%20Guy&query_place_id=ChIJp6hOhV-PLowRYstGWmeTblk,10,1800,the-gut-guy-carlton,The Gut Guy - Bariatric Surgeon Carlton | Gastric Sleeve & Bypass,"The Gut Guy is an experienced bariatric surgeon in Carlton with 10+ years experience. Rating: 5.0 stars. Book your consultation for gastric sleeve, bypass, or band surgery.",355.00,1,"Carlton, VIC"
Jessie McPherson Private Hospital,Jessie McPherson Private Hospital,,,3.4,100,Suite F/246 Clayton Rd,Clayton,VIC,Melbourne,AU,+61395942776,+61 3 9594 2776,http://jessiemcpherson.org/,Private hospital,https://www.google.com/maps/search/?api=1&query=Jessie%20McPherson%20Private%20Hospital&query_place_id=ChIJMaQWH9lq1moREjKqSaE-sYo,10,1800,jessie-mcpherson-private-hospital-clayton,Jessie McPherson Private Hospital - Bariatric Surgeon Clayton | Gastric Sleeve & Bypass,"Jessie McPherson Private Hospital is an experienced bariatric surgeon in Clayton with 10+ years experience. Rating: 3.4 stars. Book your consultation for gastric sleeve, bypass, or band surgery.",340.00,1,"Clayton, VIC"
Vineyard Medical Centre,Vineyard Medical Centre,,,4,81,2-6 Sussex Ct,Sunbury,VIC,Other,AU,+61392165600,+61 3 9216 5600,http://www.vineyardmedicalcentre.com.au/,Medical clinic,https://www.google.com/maps/search/?api=1&query=Vineyard%20Medical%20Centre&query_place_id=ChIJ3SDGOrj51moRvCTAz7ddBMU,10,1800,vineyard-medical-centre-sunbury,Vineyard Medical Centre - Bariatric Surgeon Sunbury | Gastric Sleeve & Bypass,"Vineyard Medical Centre is an experienced bariatric surgeon in Sunbury with 10+ years experience. Rating: 4.0 stars. Book your consultation for gastric sleeve, bypass, or band surgery.",324.00,1,"Sunbury, VIC"
Seddon Hypnotherapy,Seddon Hypnotherapy,,,4.9,66,30 Aughtie Dr,Albert Park,VIC,Other,AU,+61451948699,+61 451 948 699,https://www.seddonhypnotherapycentre.com.au/,Hypnotherapy service,https://www.google.com/maps/search/?api=1&query=Seddon%20Hypnotherapy&query_place_id=ChIJufV-jvZd1moRDKQ2qe1xb3s,10,1800,seddon-hypnotherapy-albert-park,Seddon Hypnotherapy - Bariatric Surgeon Albert Park | Gastric Sleeve & Bypass,"Seddon Hypnotherapy is an experienced bariatric surgeon in Albert Park with 10+ years experience. Rating: 4.9 stars. Book your consultation for gastric sleeve, bypass, or band surgery.",323.40,1,"Albert Park, VIC"
"Dr. Umed Cosmetics - Laser Skin Treatment, Cosmetic & Body Clinic","Umed Cosmetics - Laser Skin Treatment, Cosmetic & Body Clinic",Dr.,,4.4,59,110 Great N Rd,Five Dock,NSW,Other,AU,+61407194519,+61 407 194 519,https://www.drumedcosmetics.com.au/,Skin care clinic,https://www.google.com/maps/search/?api=1&query=Dr.%20Umed%20Cosmetics%20-%20Laser%20Skin%20Treatment%2C%20Cosmetic%20%26%20Body%20Clinic&query_place_id=ChIJMdM0qfelEmsRFGcE2hx2_E0,12,2160,umed-cosmetics-laser-skin-treatment-cosmetic-body-clinic-five-dock,"Umed Cosmetics - Laser Skin Treatment, Cosmetic & Body Clinic - Bariatric Surgeon Five Dock | Gastric Sleeve & Bypass","Umed Cosmetics - Laser Skin Treatment, Cosmetic & Body Clinic is an experienced bariatric surgeon in Five Dock with 12+ years experience. Rating: 4.4 stars. Book your consultation for gastric sleeve, bypass, or band surgery.",311.52,1,"Five Dock, NSW"
Health Dash |Dr Mitra Zarrati |Accredited Practising Dietitian |Care Plan Accepted,Health Dash |Dr Mitra Zarrati |Accredited Practising Dietitian |Care Plan Accepted,,,5,62,3 Wonuka Ct,Doncaster East,VIC,Other,AU,+61416549291,+61 416 549 291,https://healthdash.com.au/,Dietitian,https://www.google.com/maps/search/?api=1&query=Health%20Dash%20%7CDr%20Mitra%20Zarrati%20%7CAccredited%20Practising%20Dietitian%20%7CCare%20Plan%20Accepted&query_place_id=ChIJJYp2f8k51moR7F-Q4w-dz10,10,1800,health-dash-dr-mitra-zarrati-accredited-practising-dietitian-care-plan-accepted-doncaster-east,Health Dash |Dr Mitra Zarrati |Accredited Practising Dietitian |Care Plan Accepted - Bariatric Surgeon Doncaster East | Gastric Sleeve & Bypass,"Health Dash |Dr Mitra Zarrati |Accredited Practising Dietitian |Care Plan Accepted is an experienced bariatric surgeon in Doncaster East with 10+ years experience. Rating: 5.0 stars. Book your consultation for gastric sleeve, bypass, or band surgery.",310.00,1,"Doncaster East, VIC"
ENRICH Dermatology & Cosmetic Clinic,ENRICH Dermatology & Cosmetic Clinic,,,3.9,78,8/10 Howitt St,South Yarra,VIC,Other,AU,+61395009500,+61 3 9500 9500,http://www.enrichclinic.com.au/,Dermatologist,https://www.google.com/maps/search/?api=1&query=ENRICH%20Dermatology%20%26%20Cosmetic%20Clinic&query_place_id=ChIJi1MnDdpp1moRBGDonCaJHig,10,1800,enrich-dermatology-cosmetic-clinic-south-yarra,ENRICH Dermatology & Cosmetic Clinic - Bariatric Surgeon South Yarra | Gastric Sleeve & Bypass,"ENRICH Dermatology & Cosmetic Clinic is an experienced bariatric surgeon in South Yarra with 10+ years experience. Rating: 3.9 stars. Book your consultation for gastric sleeve, bypass, or band surgery.",304.20,1,"South Yarra, VIC"
My Temple,My Temple,,,4.7,63,Shop 1/7 Tuck St,Moorabbin,VIC,Melbourne,AU,,,http://www.mytemple.com.au/,Medical clinic,https://www.google.com/maps/search/?api=1&query=My%20Temple&query_place_id=ChIJ52yIA7Ju1moRFQBP-hBlfF8,10,1800,my-temple-moorabbin,My Temple - Bariatric Surgeon Moorabbin | Gastric Sleeve & Bypass,"My Temple is an experienced bariatric surgeon in Moorabbin with 10+ years experience. Rating: 4.7 stars. Book your consultation for gastric sleeve, bypass, or band surgery.",296.10,1,"Moorabbin, VIC"
Breast & Body Clinic - Dr Michael Yunaev - Potts Point,Breast & Body Clinic - Dr Michael Yunaev - Potts Point,,,5,59,20 Roslyn St,Potts Point,NSW,Other,AU,+61298197449,+61 2 9819 7449,https://www.bbclinic.com.au/,Surgeon,https://www.google.com/maps/search/?api=1&query=Breast%20%26%20Body%20Clinic%20-%20Dr%20Michael%20Yunaev%20-%20Potts%20Point&query_place_id=ChIJocUl6gyuEmsRRlnWRZejzEw,10,1800,breast-body-clinic-dr-michael-yunaev-potts-point-potts-point,Breast & Body Clinic - Dr Michael Yunaev - Potts Point - Bariatric Surgeon Potts Point | Gastric Sleeve & Bypass,"Breast & Body Clinic - Dr Michael Yunaev - Potts Point is an experienced bariatric surgeon in Potts Point with 10+ years experience. Rating: 5.0 stars. Book your consultation for gastric sleeve, bypass, or band surgery.",295.00,1,"Potts Point, NSW"
The Athlete HQ,The Athlete HQ,,,5,59,855 Plenty Rd,South Morang,VIC,Other,AU,+61370207451,+61 3 7020 7451,https://www.theathletehq.com.au/,Physical therapist,https://www.google.com/maps/search/?api=1&query=The%20Athlete%20HQ&query_place_id=ChIJa2l6ykpP1moRfjLXIwtB4AI,10,1800,the-athlete-hq-south-morang,The Athlete HQ - Bariatric Surgeon South Morang | Gastric Sleeve & Bypass,"The Athlete HQ is an experienced bariatric surgeon in South Morang with 10+ years experience. Rating: 5.0 stars. Book your consultation for gastric sleeve, bypass, or band surgery.",295.00,1,"South Morang, VIC"
Shape & Sculpt Body Skin,Shape & Sculpt Body Skin,,,5,58,2/2 Murdoch Rd,South Morang,VIC,Other,AU,+61466102478,+61 466 102 478,https://www.shapeandsculptbodyskin.com.au/,Skin care clinic,https://www.google.com/maps/search/?api=1&query=Shape%20%26%20Sculpt%20Body%20Skin&query_place_id=ChIJ1U700X5N1moRDXf75DGOcIw,10,1800,shape-sculpt-body-skin-south-morang,Shape & Sculpt Body Skin - Bariatric Surgeon South Morang | Gastric Sleeve & Bypass,"Shape & Sculpt Body Skin is an experienced bariatric surgeon in South Morang with 10+ years experience. Rating: 5.0 stars. Book your consultation for gastric sleeve, bypass, or band surgery.",290.00,1,"South Morang, VIC"
Dr Carmen Munteanu - Plastic Surgeon - FRACS (Plast),Carmen Munteanu - Plastic Surgeon -,"FRACS, Dr",,4.6,41,246 Mitcham Rd,Mitcham,VIC,Other,AU,+61398520545,+61 3 9852 0545,http://www.drcarmen.com.au/,Plastic surgeon,https://www.google.com/maps/search/?api=1&query=Dr%20Carmen%20Munteanu%20-%20Plastic%20Surgeon%20-%20FRACS%20(Plast)&query_place_id=ChIJE9znKwtH1moR1Aam1gLJFs8,15,2250,carmen-munteanu-plastic-surgeon--mitcham,Carmen Munteanu - Plastic Surgeon - - Bariatric Surgeon Mitcham | Gastric Sleeve & Bypass,"Carmen Munteanu - Plastic Surgeon - is an experienced bariatric surgeon in Mitcham with 15+ years experience. Rating: 4.6 stars. Book your consultation for gastric sleeve, bypass, or band surgery.",282.90,2,"Mitcham, VIC"
Macquarie GI,Macquarie GI,,,4.2,66,404/2 Technology Pl,Macquarie Park,NSW,Other,AU,+61298123880,+61 2 9812 3880,http://www.macquariegi.com/,Medical clinic,https://www.google.com/maps/search/?api=1&query=Macquarie%20GI&query_place_id=ChIJhyRLXxUcCakRQ-1RdWNvgHo,10,1800,macquarie-gi-macquarie-park,Macquarie GI - Bariatric Surgeon Macquarie Park | Gastric Sleeve & Bypass,"Macquarie GI is an experienced bariatric surgeon in Macquarie Park with 10+ years experience. Rating: 4.2 stars. Book your consultation for gastric sleeve, bypass, or band surgery.",277.20,2,"Macquarie Park, NSW"
A/Prof. Michael Hii,Michael Hii,A/Prof.,,4.9,28,Suite 301/100 Victoria Parade,East Melbourne,VIC,Melbourne,AU,+61394164418,+61 3 9416 4418,http://www.mwls.com.au/,Surgeon,https://www.google.com/maps/search/?api=1&query=A%2FProf.%20Michael%20Hii&query_place_id=ChIJ_6rD1cRC1moRbZXzqKoNazA,20,3000,michael-hii-east-melbourne,Michael Hii - Bariatric Surgeon East Melbourne | Gastric Sleeve & Bypass,"Michael Hii is an experienced bariatric surgeon in East Melbourne with 20+ years experience. Rating: 4.9 stars. Book your consultation for gastric sleeve, bypass, or band surgery.",274.40,2,"East Melbourne, VIC"
Sydney Gut Clinic,Sydney Gut Clinic,,,4.5,60,Suite 1 Level 4/15 Bowden St,Alexandria,NSW,Other,AU,+61291312111,+61 2 9131 2111,http://sydneygutclinic.com/,Gastroenterologist,https://www.google.com/maps/search/?api=1&query=Sydney%20Gut%20Clinic&query_place_id=ChIJq6rGSMixEmsRLJtB96S-bQQ,10,1800,sydney-gut-clinic-alexandria,Sydney Gut Clinic - Bariatric Surgeon Alexandria | Gastric Sleeve & Bypass,"Sydney Gut Clinic is an experienced bariatric surgeon in Alexandria with 10+ years experience. Rating: 4.5 stars. Book your consultation for gastric sleeve, bypass, or band surgery.",270.00,1,"Alexandria, NSW"
"A/Prof. Oliver Fisher | Specialist Upper GI, Bariatric, & Hernia Surgeon","Oliver Fisher | Specialist Upper GI, Bariatric, & Hernia Surgeon",A/Prof.,general-bariatric,5,26,"St George Private Hospital, Suite 18, Level 5/1 South St",Kogarah,NSW,Sydney,AU,+61291579007,+61 2 9157 9007,http://www.droliverfisher.com.au/,Surgeon,https://www.google.com/maps/search/?api=1&query=A%2FProf.%20Oliver%20Fisher%20%7C%20Specialist%20Upper%20GI%2C%20Bariatric%2C%20%26%20Hernia%20Surgeon&query_place_id=ChIJqVPfHou5EmsRDZ4LB78lVlQ,20,3000,oliver-fisher-specialist-upper-gi-bariatric-hernia-surgeon-kogarah,"Oliver Fisher | Specialist Upper GI, Bariatric, & Hernia Surgeon - Bariatric Surgeon Kogarah | Gastric Sleeve & Bypass","Oliver Fisher | Specialist Upper GI, Bariatric, & Hernia Surgeon is an experienced bariatric surgeon in Kogarah with 20+ years experience. Rating: 5.0 stars. Book your consultation for gastric sleeve, bypass, or band surgery.",260.00,2,"Kogarah, NSW"
Specialist Surgeons Sydney,Specialist Surgeons Sydney,,,4.8,54,Shop 1/38 Pacific Hwy,St Leonards,NSW,Other,AU,(013) 002 65666,+61 1300 265 666,http://specialistsurgeonssydney.com.au/,Surgeon,https://www.google.com/maps/search/?api=1&query=Specialist%20Surgeons%20Sydney&query_place_id=ChIJ507ROmquEmsRTNMO8vjve28,10,1800,specialist-surgeons-sydney-st-leonards,Specialist Surgeons Sydney - Bariatric Surgeon St Leonards | Gastric Sleeve & Bypass,"Specialist Surgeons Sydney is an experienced bariatric surgeon in St Leonards with 10+ years experience. Rating: 4.8 stars. Book your consultation for gastric sleeve, bypass, or band surgery.",259.20,1,"St Leonards, NSW"
Mode Plastic Surgery,Mode Plastic Surgery,,,5,51,Suite 13/924 Pacific Hwy,Gordon,NSW,Other,AU,(013) 008 09000,+61 1300 809 000,http://www.modeplasticsurgery.com.au/,Plastic surgeon,https://www.google.com/maps/search/?api=1&query=Mode%20Plastic%20Surgery&query_place_id=ChIJVVWVR4eoEmsRKymakKj24Xk,10,1800,mode-plastic-surgery-gordon,Mode Plastic Surgery - Bariatric Surgeon Gordon | Gastric Sleeve & Bypass,"Mode Plastic Surgery is an experienced bariatric surgeon in Gordon with 10+ years experience. Rating: 5.0 stars. Book your consultation for gastric sleeve, bypass, or band surgery.",255.00,1,"Gordon, NSW"
A/Prof. Dean White Plastic Surgery Melbourne,Dean White Plastic Surgery Melbourne,A/Prof.,,4.8,26,"The Avani Building, Suite 1, Level 1/12 Nelson Rd",Box Hill,VIC,Melbourne,AU,+61398957631,+61 3 9895 7631,https://deanwhite.com.au/,Plastic surgeon,https://www.google.com/maps/search/?api=1&query=A%2FProf.%20Dean%20White%20Plastic%20Surgery%20Melbourne&query_place_id=ChIJsYTrobZA1moRAVf-AX1uqtM,20,3000,dean-white-plastic-surgery-melbourne-box-hill,Dean White Plastic Surgery Melbourne - Bariatric Surgeon Box Hill | Gastric Sleeve & Bypass,"Dean White Plastic Surgery Melbourne is an experienced bariatric surgeon in Box Hill with 20+ years experience. Rating: 4.8 stars. Book your consultation for gastric sleeve, bypass, or band surgery.",249.60,2,"Box Hill, VIC"
Sydney Bariatric Clinic,Sydney Bariatric Clinic,,general-bariatric,4.6,51,,,,Unknown,,(002) 968 77019,(02) 9687 7019,,Bariatric surgeon,"https://www.google.com/maps/place/Sydney Bariatric Clinic/@-33.802004,150.982967,14z/data=!3m1!4b1!4m9!3m8!5m2!4m1!1i2!8m2!3d-33.802004!4d150.982967!16snull!17Bnull",10,1800,sydney-bariatric-clinic,Sydney Bariatric Clinic - Bariatric Surgeon | Gastric Sleeve & Bypass,"Sydney Bariatric Clinic is an experienced bariatric surgeon in Australia with 10+ years experience. Rating: 4.6 stars. Book your consultation for gastric sleeve, bypass, or band surgery.",234.60,1,
Prof. Charbel Sandroussi - Innerwest UGIT Surgery,Charbel Sandroussi - Innerwest UGIT Surgery,Prof.,,4.9,66,"Suite 1 Missenden Medical Centre, 54-60 Briggs St",Camperdown,NSW,Other,AU,+61295651375,+61 2 9565 1375,https://drcharbelsandroussi.com/,Surgeon,https://www.google.com/maps/search/?api=1&query=Prof.%20Charbel%20Sandroussi%20-%20Innerwest%20UGIT%20Surgery&query_place_id=ChIJX7AluC6wEmsRs2bMN4xlrBA,7,1260,charbel-sandroussi-innerwest-ugit-surgery-camperdown,Charbel Sandroussi - Innerwest UGIT Surgery - Bariatric Surgeon Camperdown | Gastric Sleeve & Bypass,"Charbel Sandroussi - Innerwest UGIT Surgery is an experienced bariatric surgeon in Camperdown with 7+ years experience. Rating: 4.9 stars. Book your consultation for gastric sleeve, bypass, or band surgery.",226.38,1,"Camperdown, NSW"
