business_name,surgeon_name,qualifications,procedures,rating,review_count,street,city,state,primary_location,country,phone,phone_original,website,category,google_maps_url
Dr Clare Bouffler,Clare Bouffler,Dr,,5,2,14/1A Barber Ave,Kingswood,NSW,Other,AU,+61288243300,+61 2 8824 3300,https://www.drclarebouffler.com.au/,Gastrointestinal surgeon,https://www.google.com/maps/search/?api=1&query=Dr%20Clare%20Bouffler&query_place_id=ChIJC-78w-mFEmsRkPyQgSiav04
Dr Rohit Kumar - Plastic Surgeon Penrith,Rohit Kumar - Plastic Surgeon Penrith,Dr,,4.2,13,"Somerset Specialist Centre, Suite 2.03, Level 2/38 Somerset St",Kingswood,NSW,Other,AU,(013) 002 67726,+61 1300 267 726,https://www.drkumar.com.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb-penrith,Plastic surgeon,https://www.google.com/maps/search/?api=1&query=Dr%20Rohit%20Kumar%20-%20Plastic%20Surgeon%20Penrith&query_place_id=ChIJfWxBQvSFEmsRSqBCUZ3KD8Y
Dr James Chau,James Chau,Dr,,5,7,"St George Private Hospital, Suite 13, Level 4/1 South St",Kogarah,NSW,Sydney,AU,+61295255322,+61 2 9525 5322,http://weightlossandkeyholesurgery.com.au/,Surgeon,https://www.google.com/maps/search/?api=1&query=Dr%20James%20Chau&query_place_id=ChIJvZOyGasfE2sRxhWKBqxm3uE
St George Obesity Surgery,St George Obesity Surgery,,general-bariatric,5,29,"Suite 18 5/1 South St, St George Private Hospital",Kogarah,NSW,Sydney,AU,+61295878813,+61 2 9587 8813,http://www.stgeorgeobesitysurgery.com.au/,Bariatric surgeon,https://www.google.com/maps/search/?api=1&query=St%20George%20Obesity%20Surgery&query_place_id=ChIJSQxOef-5EmsR-QmVp2LtrZk
Dr. Qiuye Cheng,Qiuye Cheng,Dr.,general-bariatric,5,28,Suite 18 Level 5/1 South St,Kogarah,NSW,Sydney,AU,+61295878813,+61 2 9587 8813,https://drqiuyecheng.com.au/,Bariatric surgeon,https://www.google.com/maps/search/?api=1&query=Dr.%20Qiuye%20Cheng&query_place_id=ChIJ1a6wpae5EmsRcg-s2GS0dbY
Prime Anaesthetics,Prime Anaesthetics,,,4.7,26,"Suite 9, Level 4, St George Private Hospital, 1 South St",Kogarah,NSW,Sydney,AU,+61295531566,+61 2 9553 1566,http://primeweb.com.au/,Anesthesiologist,https://www.google.com/maps/search/?api=1&query=Prime%20Anaesthetics&query_place_id=ChIJEXvvweO5EmsRjPk0F4gIy0w
"A/Prof. Oliver Fisher | Specialist Upper GI, Bariatric, & Hernia Surgeon","Oliver Fisher | Specialist Upper GI, Bariatric, & Hernia Surgeon",A/Prof.,general-bariatric,5,26,"St George Private Hospital, Suite 18, Level 5/1 South St",Kogarah,NSW,Sydney,AU,+61291579007,+61 2 9157 9007,http://www.droliverfisher.com.au/,Surgeon,https://www.google.com/maps/search/?api=1&query=A%2FProf.%20Oliver%20Fisher%20%7C%20Specialist%20Upper%20GI%2C%20Bariatric%2C%20%26%20Hernia%20Surgeon&query_place_id=ChIJqVPfHou5EmsRDZ4LB78lVlQ
Dr John Jorgensen,John Jorgensen,Dr,,4.8,24,1 South St,Kogarah,NSW,Sydney,AU,+61295537288,+61 2 9553 7288,http://www.drjohnjorgensen.com.au/,Surgeon,https://www.google.com/maps/search/?api=1&query=Dr%20John%20Jorgensen&query_place_id=ChIJEf4EBOS5EmsRxpeEOL6lKtI
Dr Jason Maani,Jason Maani,Dr,general-bariatric,4.9,23,1 South St,Kogarah,NSW,Sydney,AU,(013) 008 49118,+61 1300 849 118,https://www.drjasonmaani.com.au/,Bariatric surgeon,https://www.google.com/maps/search/?api=1&query=Dr%20Jason%20Maani&query_place_id=ChIJ8RvQAOS5EmsRVcXt4aog-OA
Professor Peter Cosman,Peter Cosman,Professor,,5,2,"Southern Cross Specialists, Suite 302, Level 3/13A Montgomery St",Kogarah,NSW,Sydney,AU,+61280055750,+61 2 8005 5750,,Surgeon,https://www.google.com/maps/search/?api=1&query=Professor%20Peter%20Cosman&query_place_id=ChIJdWOa5L6VEmsRkdu0DUiNSLo
Dr Roy Hopkins - Upper GI & Bariatric Surgeon,Roy Hopkins,Dr,general-bariatric,5,18,"St George Private Hospital, Suite 14A, Level 5/1 South St",Kogarah,NSW,Sydney,AU,+61291884550,+61 2 9188 4550,https://www.sydneyuppergi.com.au/,Gastrointestinal surgeon,https://www.google.com/maps/search/?api=1&query=Dr%20Roy%20Hopkins%20-%20Upper%20GI%20%26%20Bariatric%20Surgeon&query_place_id=ChIJLeOeOZG5EmsRbQQUsKia43U
Dr Ken Loi,Ken Loi,Dr,,4.4,14,Suite 18 Level 5/1 South St,Kogarah,NSW,Sydney,AU,+61295878813,+61 2 9587 8813,https://www.stgeorgeobesitysurgery.com.au/,Gastroenterologist,https://www.google.com/maps/search/?api=1&query=Dr%20Ken%20Loi&query_place_id=ChIJEf4EBOS5EmsRhJ0_VhElfu0
Advanced Surgicare Sydney,Advanced Surgicare Sydney,,general-bariatric,5,122,"St George Private Specialist Consulting Suites (Entrance Via, 131 Princes Highway, Level 5 Suites 501/502 South St",Kogarah,NSW,Sydney,AU,(013) 005 51533,+61 1300 551 533,https://www.advancedobesitysurgery.com.au/?utm_source=google&utm_medium=organic&utm_campaign=google-my-business-kog&utm_term=googlemybusinesskoga,Bariatric surgeon,https://www.google.com/maps/search/?api=1&query=Advanced%20Surgicare%20Sydney&query_place_id=ChIJjUgTFeS5EmsRTvAywL-3jjw
Associate Professor Michael Talbot,Michael Talbot,Associate Professor,,4.7,12,"Private Hospital Suite 3, Level, 5/1 South St",Kogarah,NSW,Sydney,AU,+61295531120,+61 2 9553 1120,http://www.uppergisurgery.com.au/,Surgeon,https://www.google.com/maps/search/?api=1&query=Associate%20Professor%20Michael%20Talbot&query_place_id=ChIJEf4EBOS5EmsRICnnrvFERBs
Dr. Amira Sanki,Amira Sanki,Dr.,,5,115,Suite 7 Level 5/15 Kensington St,Kogarah,NSW,Sydney,AU,+61295882494,+61 2 9588 2494,http://www.southernaesthetic.com.au/,Plastic surgeon,https://www.google.com/maps/search/?api=1&query=Dr.%20Amira%20Sanki&query_place_id=ChIJ4RU2FOS5EmsRXYpspl89mPo
Upper GI Surgery,Upper GI Surgery,,,4.3,10,"Suite 3, Level 5, St George Private Hospital, 1 South Street",Kogarah,NSW,Sydney,AU,+61295531120,+61 2 9553 1120,https://uppergisurgery.com.au/,Surgeon,https://www.google.com/maps/search/?api=1&query=Upper%20GI%20Surgery&query_place_id=ChIJa6r-wuO5EmsR6Ffk885MZkI
Dr Jennifer Matthei,Jennifer Matthei,Dr,,5,1,"St George Private Hospital, Suite 3 Level 5/1 South St",Kogarah,NSW,Sydney,AU,+61295531120,+61 2 9553 1120,https://uppergisurgery.com.au/,General practitioner,https://www.google.com/maps/search/?api=1&query=Dr%20Jennifer%20Matthei&query_place_id=ChIJlzXZEJ-5EmsRKnO0L9R36NY
Southern Cross Specialists,Southern Cross Specialists,,general-bariatric,,0,"Suite 302, Level 3/13A Montgomery St",Kogarah,NSW,Sydney,AU,+61280055750,+61 2 8005 5750,,Weight loss service,https://www.google.com/maps/search/?api=1&query=Southern%20Cross%20Specialists&query_place_id=ChIJyX0RkeS5EmsRacceaWI1HpY
Sydney Upper GI Surgery,Sydney Upper GI Surgery,,,,0,"Suite 14A, Level 5 St George Private Hospital, 1 South St",Kogarah,NSW,Sydney,AU,+61291884550,+61 2 9188 4550,https://www.sydneyuppergi.com.au/,Gastrointestinal surgeon,https://www.google.com/maps/search/?api=1&query=Sydney%20Upper%20GI%20Surgery&query_place_id=ChIJGwBV-TW5EmsRaoDHXixMsVo
Dr Georgia Rigas,Georgia Rigas,Dr,,,0,"Suite 19, Level 5/1 South St",Kogarah,NSW,Sydney,AU,+61290616219,+61 2 9061 6219,https://www.drgeorgiarigas.com/,General practitioner,https://www.google.com/maps/search/?api=1&query=Dr%20Georgia%20Rigas&query_place_id=ChIJl8oU19u5EmsRbyQhckkSmpk
Dr Gary Yee,Gary Yee,Dr,,,0,Suite 3 Level 5/1 South St,Kogarah,NSW,Sydney,AU,+61295531120,+61 2 9553 1120,http://www.uppergisurgery.com.au/,Surgeon,https://www.google.com/maps/search/?api=1&query=Dr%20Gary%20Yee&query_place_id=ChIJUb4w9ji5EmsRJcJVq70djHU
Dr David Samra,David Samra,Dr,,4.9,89,121 Norton St,Leichhardt,NSW,Other,AU,+61285408019,+61 2 8540 8019,https://www.progressivespecialists.com.au/,Sports medicine physician,https://www.google.com/maps/search/?api=1&query=Dr%20David%20Samra&query_place_id=ChIJt6amBCCxEmsR6UePEGi895s
The Sydney Institute for Obesity Surgery,The Sydney Institute for Obesity Surgery,,general-bariatric,4.6,18,185 Marion St,Leichhardt,NSW,Other,AU,+61280804644,+61 2 8080 4644,https://sios.com.au/,Bariatric surgeon,https://www.google.com/maps/search/?api=1&query=The%20Sydney%20Institute%20for%20Obesity%20Surgery&query_place_id=ChIJowdj_pm6EmsRcDtni0KTjCY
Professor Gregory Falk - Lindfield General Surgery / Sydney Heartburn Clinic,Gregory Falk - Lindfield General Surgery / Sydney Heartburn Clinic,Professor,,5,20,29/12-18 Tryon Rd,Lindfield,NSW,Other,AU,+61297451099,+61 2 9745 1099,https://www.gregoryfalk.com.au/,Gastrointestinal surgeon,https://www.google.com/maps/search/?api=1&query=Professor%20Gregory%20Falk%20-%20Lindfield%20General%20Surgery%20%2F%20Sydney%20Heartburn%20Clinic&query_place_id=ChIJm8YimemoEmsRCmujIT2HN24
Dr Jason Maani Bariatric Surgery,Jason Maani Bariatric Surgery,Dr,general-bariatric,5,83,"Level 3, Suite 3.02, 24/40 Bigge St",Liverpool,NSW,Sydney,AU,(013) 008 49118,+61 1300 849 118,https://www.drjasonmaani.com.au/,Bariatric surgeon,https://www.google.com/maps/search/?api=1&query=Dr%20Jason%20Maani%20Bariatric%20Surgery&query_place_id=ChIJ256UdTWVEmsRj7FBSF1qHDU
Dr Amitabha Das,Amitabha Das,Dr,,4.4,69,304/13-15 Moore St,Liverpool,NSW,Sydney,AU,+61296014000,+61 2 9601 4000,https://www.reshapeweightloss.com.au/,Gastrointestinal surgeon,https://www.google.com/maps/search/?api=1&query=Dr%20Amitabha%20Das&query_place_id=ChIJoxcI6r6VEmsRmjhuuyw8Lcs
Dr Jason Maani Gallbladder Surgery,Jason Maani Gallbladder Surgery,Dr,,5,6,"Level 3, Suite 3.02, 24/40 Bigge St",Liverpool,NSW,Sydney,AU,(013) 008 49118,+61 1300 849 118,https://www.drjasonmaani.com.au/gallbladder-surgery,Surgeon,https://www.google.com/maps/search/?api=1&query=Dr%20Jason%20Maani%20Gallbladder%20Surgery&query_place_id=ChIJc8c7fu6VEmsR_k80OcBuL0Y
Life,Life,,,5,6,Suite 2 Level 4/171 Bigge St,Liverpool,NSW,Sydney,AU,,,,Specialized clinic,https://www.google.com/maps/search/?api=1&query=Life&query_place_id=ChIJf9DpHb-VEmsRBvdNMvJgDJM
Dr Govind Krishna | Weight Loss & General Surgeon,Govind Krishna,Dr,general-bariatric,4.3,6,40 Bigge St,Liverpool,NSW,Sydney,AU,+61297230509,+61 2 9723 0509,https://drgovindkrishna.com.au/,Gastrointestinal surgeon,https://www.google.com/maps/search/?api=1&query=Dr%20Govind%20Krishna%20%7C%20Weight%20Loss%20%26%20General%20Surgeon&query_place_id=ChIJh6OjUMCVEmsRYghZtp_tKEg
Dr Devesh Kaushal,Devesh Kaushal,Dr,,5,41,"Suite 6, Level 2/171 Bigge St",Liverpool,NSW,Sydney,AU,+61279068312,+61 2 7906 8312,https://drdeveshkaushal.com.au/,Gastrointestinal surgeon,https://www.google.com/maps/search/?api=1&query=Dr%20Devesh%20Kaushal&query_place_id=ChIJoVVW0jqVEmsRXiCNgY5eosQ
Dr Ertugrul Durmush,Ertugrul Durmush,Dr,,4.2,26,Suite 2 Level 4/171 Bigge St,Liverpool,NSW,Sydney,AU,+61298264111,+61 2 9826 4111,http://lifeweightloss.com.au/,Surgical center,https://www.google.com/maps/search/?api=1&query=Dr%20Ertugrul%20Durmush&query_place_id=ChIJf9DpHb-VEmsRmx1pM-C6mbg
Macquarie GI,Macquarie GI,,,4.2,66,404/2 Technology Pl,Macquarie Park,NSW,Other,AU,+61298123880,+61 2 9812 3880,http://www.macquariegi.com/,Medical clinic,https://www.google.com/maps/search/?api=1&query=Macquarie%20GI&query_place_id=ChIJhyRLXxUcCakRQ-1RdWNvgHo
Dr Sameer Mihrshahi,Sameer Mihrshahi,Dr,,5,6,404/2 Technology Pl,Macquarie Park,NSW,Other,AU,+61298123880,+61 2 9812 3880,http://www.drsammihrshahi.com/,Doctor,https://www.google.com/maps/search/?api=1&query=Dr%20Sameer%20Mihrshahi&query_place_id=ChIJpWHopRKmEmsR0dScp1WObgw
Dr André Safvat - Specialist Plastic Surgeon at Ethique Plastic Surgery Miranda,André Safvat - Specialist Plastic Surgeon at Ethique Plastic Surgery Miranda,Dr,,4.5,22,Suite 205A/531-533 Kingsway,Miranda,NSW,Sydney,AU,+61285443270,+61 2 8544 3270,https://ethiqueplasticsurgery.com.au/,Plastic surgeon,https://www.google.com/maps/search/?api=1&query=Dr%20Andr%C3%A9%20Safvat%20-%20Specialist%20Plastic%20Surgeon%20at%20Ethique%20Plastic%20Surgery%20Miranda&query_place_id=ChIJmeGWXC6lEmsRTqr_sdl3XI8
Integrated Specialist Healthcare,Integrated Specialist Healthcare,,,3.8,18,1/531 – 533 Kingsway,Miranda,NSW,Sydney,AU,+61295252340,+61 2 9525 2340,https://ishc.org.au/,Specialized clinic,https://www.google.com/maps/search/?api=1&query=Integrated%20Specialist%20Healthcare&query_place_id=ChIJaYcxDYXHEmsRGWcS7Lve2Qw
Dr. Mark Magdy,Mark Magdy,Dr.,general-bariatric,5,109,"Suite 30, Level 2/20-24 Gibbs St",Miranda,NSW,Sydney,AU,(013) 003 76243,+61 1300 376 243,http://drmarkmagdy.com.au/,Bariatric surgeon,https://www.google.com/maps/search/?api=1&query=Dr.%20Mark%20Magdy&query_place_id=ChIJXx9aKs25EmsRST6j-im3L6Y
Weight Loss and Keyhole Surgery Centre,Weight Loss and Keyhole Surgery Centre,,general-bariatric,,0,2/18 Gibbs St,Miranda,NSW,Sydney,AU,+61295255322,+61 2 9525 5322,http://weightlossandkeyholesurgery.com.au/,Surgeon,https://www.google.com/maps/search/?api=1&query=Weight%20Loss%20and%20Keyhole%20Surgery%20Centre&query_place_id=ChIJkQY-w5rHEmsRX11_4MqEAOg
Pittwater Day Surgery,Pittwater Day Surgery,,,4.8,128,202/20 Bungan St,Mona Vale,NSW,Other,AU,+61299793888,+61 2 9979 3888,http://www.pittwaterdaysurgery.com.au/,Surgical center,https://www.google.com/maps/search/?api=1&query=Pittwater%20Day%20Surgery&query_place_id=ChIJS3vdkJdUDWsRuGmyNeTvmjw
Harding Podiatry - Sydney Academy of Sport,Harding Podiatry - Sydney Academy of Sport,,,5,105,"Sydney Academy Of Sport And Recreation, Wakehurst Pkwy",Narrabeen,NSW,Other,AU,+61299711188,+61 2 9971 1188,https://hardingpodiatry.com.au/,Podiatrist,https://www.google.com/maps/search/?api=1&query=Harding%20Podiatry%20-%20Sydney%20Academy%20of%20Sport&query_place_id=ChIJPVO-MQCrEmsRca8fBLToRFk
Dr David Joseph,David Joseph,Dr,,4.8,34,Suite 306/100 Carillon Ave,Newtown,NSW,Sydney,AU,+61295655514,+61 2 9565 5514,https://www.drdavidjoseph.com.au/,Surgeon,https://www.google.com/maps/search/?api=1&query=Dr%20David%20Joseph&query_place_id=ChIJJwF0oi2wEmsRQN4U7p-MXV0
BodyFree Weight Loss Clinic,BodyFree Weight Loss Clinic,,general-bariatric,3.9,20,"Rpah Medical Centre Suite 306, 100 Carillon Ave",Newtown,NSW,Sydney,AU,+61295655505,+61 2 9565 5505,https://www.bodyfree.com.au/,Specialized clinic,https://www.google.com/maps/search/?api=1&query=BodyFree%20Weight%20Loss%20Clinic&query_place_id=ChIJL-NlmC2wEmsR5kyum4cf6Uw
Dr James Gallagher,James Gallagher,Dr,,5,2,Suite 314/100 Carillon Ave (Level 3 Rpah Medical Centre),Newtown,NSW,Sydney,AU,+61295655059,+61 2 9565 5059,https://oyri.xyz/business/dr-james-gallagher-t8hx8q,Surgeon,https://www.google.com/maps/search/?api=1&query=Dr%20James%20Gallagher&query_place_id=ChIJJwF0oi2wEmsROQsfp6zkOnA
Dr Michael Crawford,Michael Crawford,Dr,general-bariatric,5,19,314/100 Carillon Ave,Newtown,NSW,Sydney,AU,+61295654854,+61 2 9565 4854,https://drmichaelcrawford.com.au/,Bariatric surgeon,https://www.google.com/maps/search/?api=1&query=Dr%20Michael%20Crawford&query_place_id=ChIJJwF0oi2wEmsRp9ufCG3d1rg
Sydney Plastic Surgeon - Dr Ellis Choy,Sydney Plastic Surgeon - Dr Ellis Choy,,,4.9,475,Suite 2B Level 2/115 Sailors Bay Rd,Northbridge,NSW,Other,AU,+61289629388,+61 2 8962 9388,https://drellischoy.com.au/,Plastic surgeon,https://www.google.com/maps/search/?api=1&query=Sydney%20Plastic%20Surgeon%20-%20Dr%20Ellis%20Choy&query_place_id=ChIJ43PPZcquEmsReiK4bABKnqY
Dr. Roy Brancatisano,Roy Brancatisano,Dr.,,5,4,"Norwest Business Park, Suite 2, Level 1, Hss/17-19 Solent Cct",Norwest,NSW,Other,AU,+61287110134,+61 2 8711 0134,http://www.circleofcare.com.au/,Surgeon,https://www.google.com/maps/search/?api=1&query=Dr.%20Roy%20Brancatisano&query_place_id=ChIJD9tPuuWhEmsRHMBoQtj7PuY
Circle of Care,Circle of Care,,,4.9,29,"Suite 2, Level 1, 17/19 Solent Cct",Norwest,NSW,Other,AU,+61287110134,+61 2 8711 0134,http://www.circleofcare.com.au/,Specialized clinic,https://www.google.com/maps/search/?api=1&query=Circle%20of%20Care&query_place_id=ChIJgwmY8IuhEmsR3-UDTv36Qdk
Dr Nicholas Cocco - Bella Vista,Nicholas Cocco - Bella Vista,Dr,,,0,"Sydney Bariatric Clinic, Lakeview Private Hospital, Suite 6 Level 1/17-19 Solent Cct",Norwest,NSW,Other,AU,+61258496661,+61 2 5849 6661,https://www.drnicholascocco.com/,Surgeon,https://www.google.com/maps/search/?api=1&query=Dr%20Nicholas%20Cocco%20-%20Bella%20Vista&query_place_id=ChIJEWNWbsmhEmsRBkyIaLZBqx0
Nepean Weight loss Surgery,Nepean Weight loss Surgery,,general-bariatric,4.8,18,40 Colless St,Penrith,NSW,Sydney,AU,+61247217533,+61 2 4721 7533,http://www.nepeanweightloss.com.au/,Surgeon,https://www.google.com/maps/search/?api=1&query=Nepean%20Weight%20loss%20Surgery&query_place_id=ChIJX7rRPIuFEmsR-YlHRFE0Its
Dr Fadil Khaleal,Fadil Khaleal,Dr,,4.6,16,17/20-24 Castlereagh St,Penrith,NSW,Sydney,AU,+61291998040,+61 2 9199 8040,http://sydneymetabolicsurgery.com.au/,Surgeon,https://www.google.com/maps/search/?api=1&query=Dr%20Fadil%20Khaleal&query_place_id=ChIJWeLu14qFEmsRFatTfV5QTtU
Breast & Body Clinic - Dr Michael Yunaev - Potts Point,Breast & Body Clinic - Dr Michael Yunaev - Potts Point,,,5,59,20 Roslyn St,Potts Point,NSW,Other,AU,+61298197449,+61 2 9819 7449,https://www.bbclinic.com.au/,Surgeon,https://www.google.com/maps/search/?api=1&query=Breast%20%26%20Body%20Clinic%20-%20Dr%20Michael%20Yunaev%20-%20Potts%20Point&query_place_id=ChIJocUl6gyuEmsRRlnWRZejzEw
Dr Michael Yunaev,Michael Yunaev,Dr,,3,2,20 Roslyn St,Potts Point,NSW,Other,AU,,,https://ghka.xyz/business/dr-michael-yunaev-aqblsg,Surgical center,https://www.google.com/maps/search/?api=1&query=Dr%20Michael%20Yunaev&query_place_id=ChIJvdb0OhavEmsRYYD-R-xAPrg
Dr Robert Gandy,Robert Gandy,Dr,,5,83,"Prince Of Wales Private Hospital, Suite 1A, Level/7 Barker St",Randwick,NSW,Sydney,AU,+61285994360,+61 2 8599 4360,http://www.keyholesurgeon.com.au/,Gastrointestinal surgeon,https://www.google.com/maps/search/?api=1&query=Dr%20Robert%20Gandy&query_place_id=ChIJPf1u0RiyEmsRToAH5sYubG4
Dr David Links,David Links,Dr,,5,3,"Prince Of Wales Private Hospital, Suite 19, Level 7 Barker St",Randwick,NSW,Sydney,AU,+61288600841,+61 2 8860 0841,http://www.drdavidlinks.com/,Gastrointestinal surgeon,https://www.google.com/maps/search/?api=1&query=Dr%20David%20Links&query_place_id=ChIJg5ENau-zEmsRhVo6jfuRx4A
CompleteHealth Australia,CompleteHealth Australia,,,3.7,42,2/2-4 Aberdour Ave,Rouse Hill,NSW,Sydney,AU,+61285301800,+61 2 8530 1800,http://www.completehealthaustralia.com.au/,Specialized clinic,https://www.google.com/maps/search/?api=1&query=CompleteHealth%20Australia&query_place_id=ChIJ-cS2tuWhEmsRsanCwLNU1CY
Healthy Weight Australia - NSW,Healthy Weight Australia - NSW,,general-bariatric,4.2,17,G11/2-4 Aberdour Ave,Rouse Hill,NSW,Sydney,AU,+61478088669,+61 478 088 669,http://healthyweightaustralia.com.au/,Weight loss service,https://www.google.com/maps/search/?api=1&query=Healthy%20Weight%20Australia%20-%20NSW&query_place_id=ChIJAQDQLq6fEmsRnYUlI710keo
Dr Sandra Cabot,Sandra Cabot,Dr,,4.2,18,Unit 5/48 Anderson Rd,Smeaton Grange,NSW,Other,AU,+61246554666,+61 2 4655 4666,https://www.drsandracabotclinics.com.au/,Medical clinic,https://www.google.com/maps/search/?api=1&query=Dr%20Sandra%20Cabot&query_place_id=ChIJfff2ScfwEmsRBiFAURIFchs
Dr. Khalid Ahmed,Khalid Ahmed,Dr.,general-bariatric,5,4,Shop 3/66 Dublin St,Smithfield,NSW,Other,AU,+61281041333,+61 2 8104 1333,http://dr-khalidahmed.online/,Weight loss service,https://www.google.com/maps/search/?api=1&query=Dr.%20Khalid%20Ahmed&query_place_id=ChIJA54XjaeXEmsR0LEnWYcYSAA
Specialist Surgeons Sydney,Specialist Surgeons Sydney,,,4.8,54,Shop 1/38 Pacific Hwy,St Leonards,NSW,Other,AU,(013) 002 65666,+61 1300 265 666,http://specialistsurgeonssydney.com.au/,Surgeon,https://www.google.com/maps/search/?api=1&query=Specialist%20Surgeons%20Sydney&query_place_id=ChIJ507ROmquEmsRTNMO8vjve28
Obesity Clinic,Obesity Clinic,,general-bariatric,,0,"Cnr Great Western Hwy &, Mamre Rd",St Marys,NSW,Other,AU,+61296234027,+61 2 9623 4027,,Surgical center,https://www.google.com/maps/search/?api=1&query=Obesity%20Clinic&query_place_id=ChIJxy0KdSKbEmsRjse5-brSF94
Martin Surgery,Martin Surgery,,,4.8,82,Suite 2/3-5 Everton Rd,Strathfield,NSW,Sydney,AU,+61297476166,+61 2 9747 6166,http://www.martinsurgery.com.au/david_martin.html,Surgeon,https://www.google.com/maps/search/?api=1&query=Martin%20Surgery&query_place_id=ChIJP4epxNm6EmsRt7TOBTosm-s
Dr Alex Phoon - Cosmetic Plastic Surgeon,Alex Phoon - Cosmetic Plastic Surgeon,Dr,,4.8,90,423 Bourke St,Surry Hills,NSW,Other,AU,+61280698973,+61 2 8069 8973,http://www.dralexphoon.com/,Plastic surgeon,https://www.google.com/maps/search/?api=1&query=Dr%20Alex%20Phoon%20-%20Cosmetic%20Plastic%20Surgeon&query_place_id=ChIJk2Taji2wEmsRFyrfwy0KPAY
Skinnotion Laser Vein Cosmetic Surgery,Skinnotion Laser Vein Cosmetic Surgery,,,4.8,33,"Ground Floor Shop, 168 Goulburn St",Surry Hills,NSW,Other,AU,+61289993318,+61 2 8999 3318,https://www.skinnotion.com.au/,Surgeon,https://www.google.com/maps/search/?api=1&query=Skinnotion%20Laser%20Vein%20Cosmetic%20Surgery&query_place_id=ChIJ8XEQGHSvEmsRJapJ-NB7dug
Dr Pouria Moradi,Pouria Moradi,Dr,,4.7,119,423 Bourke St,Surry Hills,NSW,Other,AU,+61280698974,+61 2 8069 8974,https://drmoradi.com.au/,Plastic surgeon,https://www.google.com/maps/search/?api=1&query=Dr%20Pouria%20Moradi&query_place_id=ChIJB3IOh6qYEmsR00IgpF0MHw0
Dr Clement Tsang,Clement Tsang,Dr,,4.1,9,"Park House, 8Th Floor/187 Macquarie St",Sydney,NSW,Sydney,AU,+61292213919,+61 2 9221 3919,https://www.keyholesurgerycentre.com.au/,Gastrointestinal surgeon,https://www.google.com/maps/search/?api=1&query=Dr%20Clement%20Tsang&query_place_id=ChIJVdTm9WquEmsRTWpa87RLDMc
Layby Surgery,Layby Surgery,,,5,8,10 Bridge St,Sydney,NSW,Sydney,AU,(013) 002 52929,+61 1300 252 929,,Physician referral service,https://www.google.com/maps/search/?api=1&query=Layby%20Surgery&query_place_id=ChIJIw4l5hMlhiQRtJwfMLmbVB8
Keyhole Surgery Centre,Keyhole Surgery Centre,,,3.6,8,Level 8/187 Macquarie St,Sydney,NSW,Sydney,AU,+61292213919,+61 2 9221 3919,http://www.keyholesurgerycentre.com.au/,Surgical center,https://www.google.com/maps/search/?api=1&query=Keyhole%20Surgery%20Centre&query_place_id=ChIJVdTm9WquEmsRWru_t7R_cSg
Arys Health,Arys Health,,,3.4,178,Suite 12 Level 7/428 George St,Sydney,NSW,Sydney,AU,+61281882299,+61 2 8188 2299,https://www.aryshealth.com.au/,Medical Center,https://www.google.com/maps/search/?api=1&query=Arys%20Health&query_place_id=ChIJfVxy2z2uEmsRBxGiCUYnTHk
Healthcare Professionals Group,Healthcare Professionals Group,,,4.5,15,14/111 Elizabeth St,Sydney,NSW,Sydney,AU,,,http://www.hpgconnect.com/,Employment agency,https://www.google.com/maps/search/?api=1&query=Healthcare%20Professionals%20Group&query_place_id=ChIJXeVBkdyvEmsR2fO9IgguogM
The Vein Institute Sydney - Varicose Vein Specialists,The Vein Institute Sydney - Varicose Vein Specialists,,,4.7,126,"Of Elizabeth And, Shop 2B 227 Elizabeth Street Corner, Bathurst St",Sydney,NSW,Sydney,AU,+61420102637,+61 420 102 637,https://www.theveininstitute.com.au/varicose-vein-treatment-sydney/?utm_source=gmb&utm_medium=sydney,Medical group,https://www.google.com/maps/search/?api=1&query=The%20Vein%20Institute%20Sydney%20-%20Varicose%20Vein%20Specialists&query_place_id=ChIJWUqfHNC6EmsRGPG-RAYHZ3c
Pure Aesthetics,Pure Aesthetics,,,4.8,105,Level 6/149 Macquarie St,Sydney,NSW,Sydney,AU,+61292529262,+61 2 9252 9262,https://pureaesthetics.com.au/?UTM_source=GMB_pa&UTM_medium=organic,Plastic surgeon,https://www.google.com/maps/search/?api=1&query=Pure%20Aesthetics&query_place_id=ChIJZ2ChJWquEmsR5hv2gmqzpHc
SMS Healthcare,SMS Healthcare,,,,0,Mezzanine/580 George St,Sydney,NSW,Sydney,AU,(013) 000 01767,+61 1300 001 767,https://www.smshealthcare.com.au/,Medical group,https://www.google.com/maps/search/?api=1&query=SMS%20Healthcare&query_place_id=ChIJRUydLFWvEmsRiHRC3i04HOU
Dr Philip Le Page - Surgeon,Philip Le Page,Dr,,5,8,"Tulloch, Inside Sydney Advetist Hospital, Suite 201/185 Fox Valley Rd",Wahroonga,NSW,Sydney,AU,+61291268963,+61 2 9126 8963,http://www.drlepage.com.au/,Gastrointestinal surgeon,https://www.google.com/maps/search/?api=1&query=Dr%20Philip%20Le%20Page%20-%20Surgeon&query_place_id=ChIJtUXb5KunEmsRWZMDAavusuA
